DATE,END_TIME,LZ_HOUSTON
19-Jun-19,0:00,19.56
19-Jun-19,1:00,16.85
19-Jun-19,2:00,16.22
19-Jun-19,3:00,16.72
19-Jun-19,4:00,17.23
19-Jun-19,5:00,16.69
19-Jun-19,6:00,16.10
19-Jun-19,7:00,17.58
19-Jun-19,8:00,17.55
19-Jun-19,9:00,18.35
19-Jun-19,10:00,20.51
19-Jun-19,11:00,20.56
19-Jun-19,12:00,22.36
19-Jun-19,13:00,26.42
19-Jun-19,14:00,28.40
19-Jun-19,15:00,30.92
19-Jun-19,16:00,38.99
19-Jun-19,17:00,65.24
19-Jun-19,18:00,70.38
19-Jun-19,19:00,33.04
19-Jun-19,20:00,411.69
19-Jun-19,21:00,27.23
19-Jun-19,22:00,32.63
19-Jun-19,23:00,22.59
